UDI,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Machine failure,TWF,HDF,PWF,OSF,RNF,Temp_diff,Power,Power_norm,Tool_wear_norm,Type_encoded
20,298.9,309.3,1632,32.5,55,0,0,0,0,0,0,10.400000000000034,53040.0,0.5305039787798408,0.21739130434782608,1
21,298.9,309.3,1375,42.7,58,0,0,0,0,0,0,10.400000000000034,58712.50000000001,0.5872400990594157,0.22924901185770752,2
22,298.8,309.3,1450,44.8,63,0,0,0,0,0,0,10.5,64959.99999999999,0.6497273465599256,0.2490118577075099,0
23,298.9,309.3,1581,30.7,65,0,0,0,0,0,0,10.400000000000034,48536.7,0.48546215058151393,0.25691699604743085,1
24,299.0,309.4,1758,25.7,68,0,0,0,0,0,0,10.399999999999977,45180.6,0.4518945713359818,0.26877470355731226,0
25,299.0,309.4,1561,37.3,70,0,0,0,0,0,0,10.399999999999977,58225.299999999996,0.5823671439602162,0.2766798418972332,1
26,299.0,309.5,1861,23.3,73,0,0,0,0,0,0,10.5,43361.3,0.43369800480894255,0.2885375494071146,0
27,299.1,309.5,1512,39.0,75,0,0,0,0,0,0,10.399999999999977,58968.0,0.5897955999375877,0.2964426877470356,0
28,299.1,309.4,1811,24.6,77,0,0,0,0,0,0,10.299999999999955,44550.600000000006,0.4455933362939136,0.30434782608695654,2
29,299.1,309.4,1439,44.2,82,0,0,0,0,0,0,10.299999999999955,63603.8,0.6361626878868258,0.3241106719367589,0
30,299.0,309.4,1693,30.1,84,0,0,0,0,0,0,10.399999999999977,50959.3,0.5096928998083624,0.33201581027667987,0
31,299.1,309.5,1339,48.2,86,0,0,0,0,0,0,10.399999999999977,64539.8,0.64552452280647,0.33992094861660077,1
32,299.0,309.4,1798,25.5,89,0,0,0,0,0,0,10.399999999999977,45849.0,0.4585798816568047,0.35177865612648224,0
33,299.0,309.4,1419,48.3,91,0,0,0,0,0,0,10.399999999999977,68537.7,0.6855113602266043,0.35968379446640314,0
34,298.9,309.3,1665,32.5,93,0,0,0,0,0,0,10.400000000000034,54112.5,0.5412310812919332,0.3675889328063241,0
35,298.8,309.1,1559,34.7,95,0,0,0,0,0,0,10.300000000000011,54097.3,0.5410790514940929,0.37549407114624506,1
36,298.8,309.2,1452,48.6,98,0,0,0,0,0,0,10.399999999999977,70567.2,0.7058103388264099,0.38735177865612647,1
37,298.9,309.2,1581,36.7,101,0,0,0,0,0,0,10.300000000000011,58022.700000000004,0.5803407467863702,0.39920948616600793,1
38,298.8,309.1,1439,39.2,104,0,0,0,0,0,0,10.300000000000011,56408.8,0.5641985829222528,0.41106719367588934,0
39,298.9,309.2,1379,50.7,106,0,0,0,0,0,0,10.300000000000011,69915.3,0.6992900608519269,0.4189723320158103,2
40,298.8,309.1,1350,52.5,111,0,0,0,0,0,0,10.300000000000011,70875.0,0.7088889422326775,0.43873517786561267,0
41,298.8,309.1,1362,45.4,113,0,0,0,0,0,0,10.300000000000011,61834.799999999996,0.6184692199671135,0.44664031620553357,0
42,298.8,309.1,1368,50.8,115,0,0,0,0,0,0,10.300000000000011,69494.4,0.6950802357262023,0.45454545454545453,0
43,298.8,309.1,1368,49.1,117,0,0,0,0,0,0,10.300000000000011,67168.8,0.6718196766566247,0.4624505928853755,1
44,298.8,309.2,1372,48.5,120,0,0,0,0,0,0,10.399999999999977,66542.0,0.665550447887786,0.4743083003952569,2
45,298.8,309.1,1472,47.5,125,0,0,0,0,0,0,10.300000000000011,69920.0,0.6993370700657329,0.49407114624505927,1
46,298.8,309.1,1489,49.1,128,0,0,0,0,0,0,10.300000000000011,73109.90000000001,0.7312423234954051,0.5059288537549407,0
47,298.7,309.0,1843,25.8,130,0,0,0,0,0,0,10.300000000000011,47549.4,0.4755872150941584,0.5138339920948617,1
48,298.8,309.1,1418,46.3,133,0,0,0,0,0,0,10.300000000000011,65653.4,0.6566627058903544,0.525691699604743,0
49,298.8,309.2,1425,53.9,135,0,0,0,0,0,0,10.399999999999977,76807.5,0.7682255722121535,0.5335968379446641,2
50,298.9,309.2,1412,44.1,140,0,0,0,0,0,0,10.300000000000011,62269.200000000004,0.6228140715580254,0.5533596837944664,1
51,298.9,309.1,2861,4.6,143,1,0,0,1,0,0,10.200000000000045,13160.599999999999,0.1316317998327672,0.5652173913043478,0
52,298.9,309.1,1383,54.9,145,0,0,0,0,0,0,10.200000000000045,75926.7,0.7594158455057191,0.5731225296442688,0
53,298.8,309.0,1497,43.8,147,0,0,0,0,0,0,10.199999999999989,65568.59999999999,0.6558145396497712,0.5810276679841897,2
54,298.7,309.0,1565,35.1,152,0,0,0,0,0,0,10.300000000000011,54931.5,0.5494226868466219,0.6007905138339921,0
55,298.7,309.0,1691,30.1,154,0,0,0,0,0,0,10.300000000000011,50899.100000000006,0.5090907817932315,0.6086956521739131,0
56,298.8,309.1,1512,40.7,156,0,0,0,0,0,0,10.300000000000011,61538.4,0.6155046389092261,0.616600790513834,0
57,298.8,309.1,1477,42.4,158,0,0,0,0,0,0,10.300000000000011,62624.799999999996,0.6263707686706593,0.6245059288537549,0
58,298.8,309.1,1513,40.3,160,0,0,0,0,0,0,10.300000000000011,60973.899999999994,0.6098585322723252,0.6324110671936759,0
59,298.8,309.0,1661,29.5,162,0,0,0,0,0,0,10.199999999999989,48999.5,0.49009105784733803,0.6403162055335968,1
60,298.8,309.1,1378,54.4,165,0,0,0,0,0,0,10.300000000000011,74963.2,0.7497789566755083,0.6521739130434783,0
61,298.8,309.1,1393,52.6,167,0,0,0,0,0,0,10.300000000000011,73271.8,0.7328616408816128,0.6600790513833992,0
62,298.8,309.0,1592,38.2,169,0,0,0,0,0,0,10.199999999999989,60814.4,0.6082632195910398,0.6679841897233202,1
63,298.8,309.0,1829,22.9,172,0,0,0,0,0,0,10.199999999999989,41884.1,0.4189231089293501,0.6798418972332015,0
64,298.9,309.0,1812,25.9,174,0,0,0,0,0,0,10.100000000000023,46930.799999999996,0.4694000024004704,0.6877470355731226,1
65,299.0,309.1,1523,38.6,177,0,0,0,0,0,0,10.100000000000023,58787.8,0.5879932466763486,0.6996047430830039,0
66,299.0,309.1,1394,45.1,179,0,0,0,0,0,0,10.100000000000023,62869.4,0.6288172481806433,0.7075098814229249,0
67,298.9,308.9,1679,28.7,181,0,0,0,0,0,0,10.0,48187.299999999996,0.4819674656232621,0.7154150197628458,1
68,298.8,308.9,1466,44.1,184,0,0,0,0,0,0,10.099999999999966,64650.6,0.6466327400170433,0.7272727272727273,2
69,298.8,308.9,1527,32.4,189,0,0,0,0,0,0,10.099999999999966,49474.799999999996,0.494844989617965,0.7470355731225297,0
70,298.9,309.0,1410,65.7,191,1,0,0,1,1,0,10.100000000000023,92637.0,0.9265516041144063,0.7549407114624506,0
71,298.9,309.0,1924,22.6,193,0,0,0,0,0,0,10.100000000000023,43482.4,0.4349092422114734,0.7628458498023716,1
72,298.9,309.1,1452,45.5,196,0,0,0,0,0,0,10.200000000000045,66066.0,0.6607895147448899,0.7747035573122529,0
73,298.9,309.1,1369,44.4,198,0,0,0,0,0,0,10.200000000000045,60783.6,0.6079551592112054,0.782608695652174,0
74,299.0,309.1,1592,35.0,200,0,0,0,0,0,0,10.100000000000023,55720.0,0.5573092326095914,0.7905138339920948,0
75,298.9,309.0,1601,32.3,202,0,0,0,0,0,0,10.100000000000023,51712.299999999996,0.5172243759776916,0.7984189723320159,0
76,298.8,308.9,1379,46.7,204,0,0,0,0,0,0,10.099999999999966,64399.3,0.6441192473724849,0.8063241106719368,0
77,298.8,308.9,1461,47.9,206,0,0,0,0,0,0,10.099999999999966,69981.9,0.699956191413517,0.8142292490118577,0
78,298.8,308.9,1455,41.3,208,1,1,0,0,0,0,10.099999999999966,60091.49999999999,0.601032802429276,0.8221343873517787,0
79,298.8,308.9,1398,51.5,0,0,0,0,0,0,0,10.099999999999966,71997.0,0.7201111417837895,0.0,0
80,298.8,308.9,1402,37.9,2,0,0,0,0,0,0,10.099999999999966,53135.799999999996,0.5314621665846505,0.007905138339920948,0
81,298.8,308.8,1445,49.9,4,0,0,0,0,0,0,10.0,72105.5,0.7211963544854791,0.015810276679841896,2
82,298.9,308.9,1450,47.5,9,0,0,0,0,0,0,10.0,68875.0,0.6888850214642069,0.03557312252964427,0
83,298.9,308.9,1453,40.8,11,0,0,0,0,0,0,10.0,59282.399999999994,0.5929402162823912,0.043478260869565216,0
84,299.0,309.0,1469,40.1,13,0,0,0,0,0,0,10.0,58906.9,0.589184480158111,0.05138339920948617,0
85,298.9,308.9,1422,47.6,15,0,0,0,0,0,0,10.0,67687.2,0.6770046929198122,0.05928853754940711,0
86,299.0,309.0,1804,26.8,17,0,0,0,0,0,0,10.0,48347.200000000004,0.4835667790887014,0.06719367588932806,1
87,299.0,309.0,1436,43.9,20,0,0,0,0,0,0,10.0,63040.4,0.6305275834063476,0.07905138339920949,2
88,299.0,309.0,1544,31.8,25,0,0,0,0,0,0,10.0,49099.200000000004,0.4910882532976463,0.09881422924901186,0
89,299.0,309.0,1419,45.2,27,0,0,0,0,0,0,10.0,64138.8,0.6415137366923916,0.1067193675889328,1
90,298.9,308.9,1487,39.5,30,0,0,0,0,0,0,10.0,58736.5,0.5874801461086372,0.11857707509881422,1
91,298.9,308.9,1753,25.8,33,0,0,0,0,0,0,10.0,45227.4,0.45236266308196404,0.13043478260869565,0
92,298.9,308.9,1830,24.9,35,0,0,0,0,0,0,10.0,45567.0,0.4557593288284503,0.1383399209486166,0
93,298.9,308.9,1727,27.1,37,0,0,0,0,0,0,10.0,46801.700000000004,0.46810874931486574,0.14624505928853754,1
94,299.1,309.0,1450,43.0,40,0,0,0,0,0,0,9.899999999999977,62350.0,0.6236222299570715,0.15810276679841898,0
95,299.0,308.9,1622,31.9,42,0,0,0,0,0,0,9.899999999999977,51741.799999999996,0.5175194338090264,0.16600790513833993,0
96,299.0,309.0,1351,52.2,44,0,0,0,0,0,0,10.0,70522.2,0.7053602506091193,0.17391304347826086,1
97,299.0,309.0,1575,35.3,47,0,0,0,0,0,0,10.0,55597.49999999999,0.5560839924625225,0.1857707509881423,1
98,298.9,308.9,1750,29.9,50,0,0,0,0,0,0,10.0,52325.0,0.5233525771051125,0.1976284584980237,1
99,298.9,308.8,1529,32.7,53,0,0,0,0,0,0,9.900000000000034,49998.3,0.5000810158791122,0.20948616600790515,0
100,298.8,308.8,1523,44.4,55,0,0,0,0,0,0,10.0,67621.2,0.6763445635344527,0.21739130434782608,0
101,298.8,308.9,1852,25.0,57,0,0,0,0,0,0,10.099999999999966,46300.0,0.46309076579009484,0.22529644268774704,0
102,298.8,308.8,1991,20.7,59,0,0,0,0,0,0,10.0,41213.7,0.4122177946877587,0.233201581027668,0
103,298.8,308.8,1555,40.6,61,0,0,0,0,0,0,10.0,63133.0,0.6314537649379278,0.24110671936758893,0
104,298.8,308.8,1441,40.5,63,0,0,0,0,0,0,10.0,58360.5,0.5837194090041647,0.2490118577075099,1
105,298.8,308.7,1450,43.4,66,0,0,0,0,0,0,9.899999999999977,62930.0,0.629423366979928,0.2608695652173913,0
106,298.8,308.7,1591,31.1,68,0,0,0,0,0,0,9.899999999999977,49480.100000000006,0.4948980000080016,0.26877470355731226,0
107,298.8,308.7,1445,48.5,70,0,0,0,0,0,0,9.899999999999977,70082.5,0.7009623886281711,0.2766798418972332,0
108,298.8,308.8,1497,46.8,72,0,0,0,0,0,0,10.0,70059.59999999999,0.700733343735372,0.2845849802371542,1
109,298.9,308.8,1621,32.7,75,0,0,0,0,0,0,9.900000000000034,53006.700000000004,0.5301709134990458,0.2964426877470356,2
110,298.9,308.7,1572,34.1,80,0,0,0,0,0,0,9.800000000000011,53605.200000000004,0.5361570867890106,0.31620553359683795,0
111,298.8,308.6,1872,22.5,82,0,0,0,0,0,0,9.800000000000011,42120.0,0.4212825713839912,0.3241106719367589,0
112,298.7,308.6,1499,43.5,84,0,0,0,0,0,0,9.900000000000034,65206.5,0.6521928297946397,0.33201581027667987,2
113,298.8,308.7,1498,39.5,89,0,0,0,0,0,0,9.899999999999977,59171.0,0.5918259978955874,0.35177865612648224,1
114,298.8,308.6,1486,41.9,92,0,0,0,0,0,0,9.800000000000011,62263.4,0.6227560601877967,0.36363636363636365,1
115,298.8,308.6,1680,29.4,95,0,0,0,0,0,0,9.800000000000011,49392.0,0.4940168272981504,0.37549407114624506,0
116,298.8,308.6,1431,45.7,97,0,0,0,0,0,0,9.800000000000011,65396.700000000004,0.6540952026597213,0.383399209486166,0
117,298.9,308.7,1564,34.1,99,0,0,0,0,0,0,9.800000000000011,53332.4,0.5334285519961912,0.391304347826087,0
118,298.8,308.6,1599,33.0,101,0,0,0,0,0,0,9.800000000000011,52767.0,0.5277734435949446,0.39920948616600793,0
119,298.8,308.6,1707,28.1,103,0,0,0,0,0,0,9.800000000000011,47966.700000000004,0.47976103316249985,0.40711462450592883,1
120,298.7,308.5,1467,40.7,106,0,0,0,0,0,0,9.800000000000011,59706.9,0.5971860484654992,0.4189723320158103,0
121,298.9,308.7,1433,44.7,108,0,0,0,0,0,0,9.800000000000011,64055.100000000006,0.6406765726082312,0.4268774703557312,0
122,298.9,308.7,1558,41.2,110,0,0,0,0,0,0,9.800000000000011,64189.600000000006,0.6420218362799108,0.43478260869565216,0
123,299.0,308.8,1310,50.7,112,0,0,0,0,0,0,9.800000000000011,66417.0,0.6643002028397565,0.4426877470355731,0
124,298.9,308.7,1546,43.4,114,0,0,0,0,0,0,9.800000000000011,67096.4,0.671095534724806,0.4505928853754941,0
125,298.9,308.7,1727,29.4,116,0,0,0,0,0,0,9.800000000000011,50773.799999999996,0.5078375361570867,0.45849802371541504,0
126,298.9,308.6,1560,32.2,118,0,0,0,0,0,0,9.700000000000045,50232.00000000001,0.5024184740209081,0.466403162055336,0
127,299.0,308.6,1329,60.5,120,0,0,0,0,0,0,9.600000000000023,80404.5,0.8042026237142479,0.4743083003952569,0
128,298.9,308.6,1413,46.5,122,0,0,0,0,0,0,9.700000000000045,65704.5,0.6571738060659889,0.48221343873517786,0
129,299.0,308.6,1587,38.6,124,0,0,0,0,0,0,9.600000000000023,61258.200000000004,0.6127020896095635,0.4901185770750988,0
130,298.9,308.5,1559,34.3,126,0,0,0,0,0,0,9.600000000000023,53473.7,0.5348418289984836,0.4980237154150198,0
131,298.8,308.4,1473,41.1,128,0,0,0,0,0,0,9.599999999999966,60540.3,0.6055216822497209,0.5059288537549407,0
132,298.8,308.4,1737,27.7,130,0,0,0,0,0,0,9.599999999999966,48114.9,0.4812433236914435,0.5138339920948617,0
133,298.7,308.4,1441,43.2,132,0,0,0,0,0,0,9.699999999999989,62251.200000000004,0.6226340362711091,0.5217391304347826,1
134,298.7,308.4,1430,49.6,135,0,0,0,0,0,0,9.699999999999989,70928.0,0.709419046133042,0.5335968379446641,1
135,298.8,308.4,1369,53.0,138,0,0,0,0,0,0,9.599999999999966,72557.0,0.7257122395989614,0.5454545454545454,0
136,298.8,308.5,1711,28.5,140,0,0,0,0,0,0,9.699999999999989,48763.5,0.4877305951966585,0.5533596837944664,1
137,298.7,308.5,1420,45.7,143,0,0,0,0,0,0,9.800000000000011,64894.00000000001,0.6490672171745663,0.5652173913043478,2
138,298.7,308.6,1297,55.3,148,0,0,0,0,0,0,9.900000000000034,71724.09999999999,0.7173816067949317,0.5849802371541502,0
139,298.8,308.6,1449,49.4,150,0,0,0,0,0,0,9.800000000000011,71580.59999999999,0.7159463254797939,0.5928853754940712,2
140,298.8,308.6,1268,55.8,155,0,0,0,0,0,0,9.800000000000011,70754.4,0.7076827058103387,0.6126482213438735,0
141,298.8,308.6,1511,36.1,157,0,0,0,0,0,0,9.800000000000011,54547.1,0.5455779332749219,0.6205533596837944,0
142,298.7,308.5,1544,35.2,159,0,0,0,0,0,0,9.800000000000011,54348.8,0.543594544530728,0.6284584980237155,0
143,298.6,308.4,1778,28.2,161,0,0,0,0,0,0,9.799999999999955,50139.6,0.5014942928814047,0.6363636363636364,1
144,298.6,308.4,1407,50.5,164,0,0,0,0,0,0,9.799999999999955,71053.5,0.7106742921612635,0.6482213438735178,2
145,298.6,308.4,1391,42.4,169,0,0,0,0,0,0,9.799999999999955,58978.4,0.5898996203255837,0.6679841897233202,1
146,298.5,308.4,1513,33.6,172,0,0,0,0,0,0,9.899999999999977,50836.8,0.5084676596612936,0.6798418972332015,0
147,298.5,308.4,1612,36.1,174,0,0,0,0,0,0,9.899999999999977,58193.200000000004,0.5820460810318823,0.6877470355731226,2
148,298.4,308.4,1515,40.1,179,0,0,0,0,0,0,10.0,60751.5,0.6076340962828713,0.7075098814229249,0
149,298.3,308.3,1379,48.0,181,0,0,0,0,0,0,10.0,66192.0,0.6620497617533035,0.7154150197628458,1
150,298.4,308.3,1473,39.9,184,0,0,0,0,0,0,9.900000000000034,58772.7,0.5878422170745465,0.7272727272727273,0
151,298.4,308.3,1422,42.7,186,0,0,0,0,0,0,9.900000000000034,60719.4,0.6073130333545375,0.7351778656126482,0
152,298.4,308.2,1463,37.6,188,0,0,0,0,0,0,9.800000000000011,55008.8,0.5501958383843233,0.7430830039525692,1
153,298.4,308.2,1584,41.0,191,0,0,0,0,0,0,9.800000000000011,64944.0,0.649567315193778,0.7549407114624506,1
154,298.4,308.2,1850,27.0,194,0,0,0,0,0,0,9.800000000000011,49950.0,0.4995979211925537,0.766798418972332,0
155,298.4,308.2,1528,36.2,196,0,0,0,0,0,0,9.800000000000011,55313.600000000006,0.5532444359094383,0.7747035573122529,0
156,298.4,308.2,1987,19.8,198,0,0,0,0,0,0,9.800000000000011,39342.6,0.39350312661281606,0.782608695652174,2
157,298.4,308.1,1495,46.0,203,0,0,0,0,0,0,9.700000000000045,68770.0,0.6878348156238622,0.8023715415019763,1
158,298.4,308.2,1478,43.5,206,0,0,0,0,0,0,9.800000000000011,64293.0,0.6430560389836407,0.8142292490118577,2
159,298.4,308.2,1499,40.0,211,0,0,0,0,0,0,9.800000000000011,59960.0,0.5997175446387492,0.83399209486166,1
160,298.4,308.2,1471,47.0,214,0,0,0,0,0,0,9.800000000000011,69137.0,0.6915055350848766,0.8458498023715415,0
161,298.4,308.2,1282,60.7,216,1,0,0,0,1,0,9.800000000000011,77817.40000000001,0.7783265520041929,0.8537549407114624,0
162,298.3,308.1,1412,52.3,218,1,0,0,0,1,0,9.800000000000011,73847.59999999999,0.7386207696708553,0.8616600790513834,0
163,298.3,308.1,1586,35.5,0,0,0,0,0,0,0,9.800000000000011,56303.0,0.5631403755136006,0.0,0
164,298.4,308.2,1468,43.8,2,0,0,0,0,0,0,9.800000000000011,64298.399999999994,0.6431100495697155,0.007905138339920948,1
165,298.5,308.3,1440,43.6,5,0,0,0,0,0,0,9.800000000000011,62784.0,0.6279630807638297,0.019762845849802372,1
166,298.5,308.4,1733,26.0,8,0,0,0,0,0,0,9.899999999999977,45058.0,0.45066833099287457,0.03162055335968379,0
167,298.4,308.2,1612,32.6,10,0,0,0,0,0,0,9.800000000000011,52551.200000000004,0.5256150205440266,0.039525691699604744,2
168,298.4,308.3,1458,42.9,15,0,0,0,0,0,0,9.900000000000034,62548.2,0.625604618505227,0.05928853754940711,2
169,298.4,308.3,1433,62.3,20,1,0,0,1,0,0,9.900000000000034,89275.9,0.892934015066953,0.07905138339920949,0
170,298.4,308.3,1318,59.1,22,0,0,0,0,0,0,9.900000000000034,77893.8,0.7790907017775484,0.08695652173913043,0
171,298.4,308.2,1610,35.0,24,0,0,0,0,0,0,9.800000000000011,56350.0,0.5636104676516597,0.09486166007905138,1
172,298.2,308.1,1462,50.8,27,0,0,0,0,0,0,9.900000000000034,74269.59999999999,0.7428415969530027,0.1067193675889328,0
173,298.1,308.0,1924,20.8,29,0,0,0,0,0,0,9.899999999999977,40019.200000000004,0.4002704530087897,0.11462450592885376,1
174,298.2,308.0,1591,33.7,32,0,0,0,0,0,0,9.800000000000011,53616.700000000004,0.5362721093334294,0.12648221343873517,1
175,298.2,308.1,1306,58.3,35,0,0,0,0,0,0,9.900000000000034,76139.8,0.7615472632635997,0.1383399209486166,0
176,298.2,308.1,1382,43.5,37,0,0,0,0,0,0,9.900000000000034,60117.0,0.6012878524190741,0.14624505928853754,0
177,298.2,308.1,1618,34.7,39,0,0,0,0,0,0,9.900000000000034,56144.600000000006,0.5615560649887378,0.1541501976284585,0
178,298.2,308.2,1988,21.4,41,0,0,0,0,0,0,10.0,42543.2,0.4255154010185996,0.16205533596837945,0
179,298.2,308.2,1436,50.2,43,0,0,0,0,0,0,10.0,72087.2,0.7210133186104476,0.16996047430830039,0
180,298.2,308.3,1304,49.8,45,0,0,0,0,0,0,10.100000000000023,64939.2,0.6495193057839336,0.17786561264822134,0
181,298.2,308.3,1475,49.9,47,0,0,0,0,0,0,10.100000000000023,73602.5,0.7361692891806794,0.1857707509881423,0
182,298.2,308.3,1824,24.2,49,0,0,0,0,0,0,10.100000000000023,44140.799999999996,0.4414945329284539,0.19367588932806323,2
183,298.1,308.2,1342,48.1,54,0,0,0,0,0,0,10.099999999999966,64550.200000000004,0.645628543194466,0.2134387351778656,1
184,298.1,308.2,1485,40.7,57,0,0,0,0,0,0,10.099999999999966,60439.50000000001,0.60451348464299,0.22529644268774704,0
185,298.2,308.2,1667,30.6,59,0,0,0,0,0,0,10.0,51010.200000000004,0.51020199959192,0.233201581027668,0
186,298.2,308.2,1446,38.2,61,0,0,0,0,0,0,10.0,55237.200000000004,0.5524802861360827,0.24110671936758893,0
187,298.1,308.3,1301,56.0,63,0,0,0,0,0,0,10.199999999999989,72856.0,0.7287028257538477,0.2490118577075099,0
188,298.2,308.4,1379,43.1,65,0,0,0,0,0,0,10.199999999999989,59434.9,0.5944655152409872,0.25691699604743085,0
189,298.3,308.5,1606,33.6,67,0,0,0,0,0,0,10.199999999999989,53961.600000000006,0.5397217854699521,0.2648221343873518,0
190,298.3,308.4,1539,43.4,69,0,0,0,0,0,0,10.099999999999966,66792.59999999999,0.6680569391600752,0.2727272727272727,1
191,298.2,308.4,1477,49.9,72,0,0,0,0,0,0,10.199999999999989,73702.3,0.7371674848270261,0.2845849802371542,0
192,298.2,308.4,1666,34.6,74,0,0,0,0,0,0,10.199999999999989,57643.600000000006,0.5765490036047065,0.2924901185770751,0
193,298.2,308.4,1398,51.8,76,0,0,0,0,0,0,10.199999999999989,72416.4,0.7243059639689378,0.30039525691699603,2
194,298.2,308.4,1678,34.6,81,0,0,0,0,0,0,10.199999999999989,58058.8,0.580701817556241,0.3201581027667984,2
195,298.2,308.5,2678,10.7,86,1,0,0,1,0,0,10.300000000000011,28654.6,0.2866021740261091,0.33992094861660077,1
196,298.3,308.5,1453,42.9,89,0,0,0,0,0,0,10.199999999999989,62333.7,0.6234591980028085,0.35177865612648224,0
197,298.3,308.6,1432,49.5,91,0,0,0,0,0,0,10.300000000000011,70884.0,0.7089789598761357,0.35968379446640314,2
198,298.4,308.6,1527,40.9,96,0,0,0,0,0,0,10.200000000000045,62454.299999999996,0.6246654344251472,0.3794466403162055,1
199,298.4,308.7,1588,35.0,99,0,0,0,0,0,0,10.300000000000011,55580.0,0.5559089581557984,0.391304347826087,0
200,298.4,308.6,1433,47.1,101,0,0,0,0,0,0,10.200000000000045,67494.3,0.6750753147616932,0.39920948616600793,0
201,298.4,308.6,1609,35.0,103,0,0,0,0,0,0,10.200000000000045,56315.0,0.5632603990382115,0.40711462450592883,0
202,298.3,308.5,1575,41.2,105,0,0,0,0,0,0,10.199999999999989,64890.00000000001,0.6490272093330293,0.4150197628458498,0
203,298.4,308.5,1636,35.7,107,0,0,0,0,0,0,10.100000000000023,58405.200000000004,0.5841664966333401,0.42292490118577075,1
204,298.4,308.5,1490,37.9,110,0,0,0,0,0,0,10.100000000000023,56471.0,0.5648207048581522,0.43478260869565216,0
205,298.4,308.5,1741,32.8,112,0,0,0,0,0,0,10.100000000000023,57104.799999999996,0.5711599473496805,0.4426877470355731,0
206,298.5,308.6,1344,53.0,114,0,0,0,0,0,0,10.100000000000023,71232.0,0.7124596420898496,0.4505928853754941,1
207,298.5,308.7,1609,35.3,117,0,0,0,0,0,0,10.199999999999989,56797.7,0.5680883453156818,0.4624505928853755,0
208,298.4,308.7,1421,60.7,119,1,0,0,1,0,0,10.300000000000011,86254.7,0.8627160923541013,0.47035573122529645,1
209,298.4,308.6,1591,36.7,122,0,0,0,0,0,0,10.200000000000045,58389.700000000004,0.5840114662473844,0.48221343873517786,0
210,298.4,308.6,1477,44.0,124,0,0,0,0,0,0,10.200000000000045,64988.0,0.6500074014506843,0.4901185770750988,0
211,298.4,308.7,1523,36.1,126,0,0,0,0,0,0,10.300000000000011,54980.3,0.5499107825133726,0.4980237154150198,0
212,298.5,308.7,1575,33.9,128,0,0,0,0,0,0,10.199999999999989,53392.5,0.5340296698152838,0.5059288537549407,0
213,298.4,308.7,1344,52.9,130,0,0,0,0,0,0,10.300000000000011,71097.59999999999,0.7111153786142083,0.5138339920948617,2
214,298.4,308.7,1386,44.9,135,0,0,0,0,0,0,10.300000000000011,62231.4,0.6224359974555013,0.5335968379446641,0
215,298.3,308.6,1589,37.1,137,0,0,0,0,0,0,10.300000000000011,58951.9,0.5896345683754015,0.541501976284585,1
