Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Machine failure,TWF,HDF,PWF,OSF,RNF,Temp_diff,Power_norm,Tool_wear_norm,Type_encoded,logit
309.2,1542,48.4,42,0,0,0,0,0,0,10.599999999999966,0.746474308964557,0.1660079051383399,0,-4.61512051684126
309.2,1311,46.6,44,0,0,0,0,0,0,10.599999999999966,0.611045764969934,0.1739130434782608,1,-4.61512051684126
309.2,1410,45.6,47,0,0,0,0,0,0,10.5,0.6430860448647935,0.1857707509881423,1,-4.61512051684126
309.2,1306,54.5,50,0,0,0,0,0,0,10.399999999999975,0.7119095342687166,0.1976284584980237,2,-4.61512051684126
309.3,1632,32.5,55,0,0,0,0,0,0,10.400000000000034,0.5305039787798408,0.217391304347826,1,-4.61512051684126
309.3,1375,42.7,58,0,0,0,0,0,0,10.400000000000034,0.5872400990594157,0.2292490118577075,2,-4.61512051684126
309.3,1450,44.8,63,0,0,0,0,0,0,10.5,0.6497273465599256,0.2490118577075099,0,-4.61512051684126
309.3,1581,30.7,65,0,0,0,0,0,0,10.400000000000034,0.4854621505815139,0.2569169960474308,1,-4.61512051684126
309.4,1758,25.7,68,0,0,0,0,0,0,10.399999999999975,0.4518945713359818,0.2687747035573122,0,-4.61512051684126
309.4,1561,37.3,70,0,0,0,0,0,0,10.399999999999975,0.5823671439602162,0.2766798418972332,1,-4.61512051684126
309.5,1861,23.3,73,0,0,0,0,0,0,10.5,0.4336980048089425,0.2885375494071146,0,-4.61512051684126
309.5,1512,39.0,75,0,0,0,0,0,0,10.399999999999975,0.5897955999375877,0.2964426877470356,0,-4.61512051684126
309.4,1811,24.6,77,0,0,0,0,0,0,10.299999999999956,0.4455933362939136,0.3043478260869565,2,-4.61512051684126
309.4,1439,44.2,82,0,0,0,0,0,0,10.299999999999956,0.6361626878868258,0.3241106719367589,0,-4.61512051684126
309.4,1693,30.1,84,0,0,0,0,0,0,10.399999999999975,0.5096928998083624,0.3320158102766798,0,-4.61512051684126
309.5,1339,48.2,86,0,0,0,0,0,0,10.399999999999975,0.64552452280647,0.3399209486166007,1,-4.61512051684126
309.4,1798,25.5,89,0,0,0,0,0,0,10.399999999999975,0.4585798816568047,0.3517786561264822,0,-4.61512051684126
309.4,1419,48.3,91,0,0,0,0,0,0,10.399999999999975,0.6855113602266043,0.3596837944664031,0,-4.61512051684126
309.3,1665,32.5,93,0,0,0,0,0,0,10.400000000000034,0.5412310812919332,0.3675889328063241,0,-4.61512051684126
309.1,1559,34.7,95,0,0,0,0,0,0,10.300000000000011,0.5410790514940929,0.375494071146245,1,-4.61512051684126
309.2,1452,48.6,98,0,0,0,0,0,0,10.399999999999975,0.7058103388264099,0.3873517786561264,1,-4.61512051684126
309.2,1581,36.7,101,0,0,0,0,0,0,10.300000000000011,0.5803407467863702,0.3992094861660079,1,-4.61512051684126
309.1,1439,39.2,104,0,0,0,0,0,0,10.300000000000011,0.5641985829222528,0.4110671936758893,0,-4.61512051684126
309.2,1379,50.7,106,0,0,0,0,0,0,10.300000000000011,0.6992900608519269,0.4189723320158103,2,-4.61512051684126
309.1,1350,52.5,111,0,0,0,0,0,0,10.300000000000011,0.7088889422326775,0.4387351778656126,0,-4.61512051684126
309.1,1362,45.4,113,0,0,0,0,0,0,10.300000000000011,0.6184692199671135,0.4466403162055335,0,-4.61512051684126
309.1,1368,50.8,115,0,0,0,0,0,0,10.300000000000011,0.6950802357262023,0.4545454545454545,0,-4.61512051684126
309.1,1368,49.1,117,0,0,0,0,0,0,10.300000000000011,0.6718196766566247,0.4624505928853755,1,-4.61512051684126
309.2,1372,48.5,120,0,0,0,0,0,0,10.399999999999975,0.665550447887786,0.4743083003952569,2,-4.61512051684126
309.1,1472,47.5,125,0,0,0,0,0,0,10.300000000000011,0.6993370700657329,0.4940711462450592,1,-4.61512051684126
309.1,1489,49.1,128,0,0,0,0,0,0,10.300000000000011,0.7312423234954051,0.5059288537549407,0,-4.61512051684126
309.0,1843,25.8,130,0,0,0,0,0,0,10.300000000000011,0.4755872150941584,0.5138339920948617,1,-4.61512051684126
309.1,1418,46.3,133,0,0,0,0,0,0,10.300000000000011,0.6566627058903544,0.525691699604743,0,-4.61512051684126
309.2,1425,53.9,135,0,0,0,0,0,0,10.399999999999975,0.7682255722121535,0.5335968379446641,2,-4.61512051684126
309.2,1412,44.1,140,0,0,0,0,0,0,10.300000000000011,0.6228140715580254,0.5533596837944664,1,-4.61512051684126
309.1,2861,4.6,143,1,0,0,1,0,0,10.200000000000044,0.1316317998327672,0.5652173913043478,0,4.61512051684126
309.1,1383,54.9,145,0,0,0,0,0,0,10.200000000000044,0.7594158455057191,0.5731225296442688,0,-4.61512051684126
309.0,1497,43.8,147,0,0,0,0,0,0,10.199999999999989,0.6558145396497712,0.5810276679841897,2,-4.61512051684126
309.0,1565,35.1,152,0,0,0,0,0,0,10.300000000000011,0.5494226868466219,0.6007905138339921,0,-4.61512051684126
309.0,1691,30.1,154,0,0,0,0,0,0,10.300000000000011,0.5090907817932315,0.6086956521739131,0,-4.61512051684126
309.1,1512,40.7,156,0,0,0,0,0,0,10.300000000000011,0.6155046389092261,0.616600790513834,0,-4.61512051684126
309.1,1477,42.4,158,0,0,0,0,0,0,10.300000000000011,0.6263707686706593,0.6245059288537549,0,-4.61512051684126
309.1,1513,40.3,160,0,0,0,0,0,0,10.300000000000011,0.6098585322723252,0.6324110671936759,0,-4.61512051684126
309.0,1661,29.5,162,0,0,0,0,0,0,10.199999999999989,0.490091057847338,0.6403162055335968,1,-4.61512051684126
309.1,1378,54.4,165,0,0,0,0,0,0,10.300000000000011,0.7497789566755083,0.6521739130434783,0,-4.61512051684126
309.1,1393,52.6,167,0,0,0,0,0,0,10.300000000000011,0.7328616408816128,0.6600790513833992,0,-4.61512051684126
309.0,1592,38.2,169,0,0,0,0,0,0,10.199999999999989,0.6082632195910398,0.6679841897233202,1,-4.61512051684126
309.0,1829,22.9,172,0,0,0,0,0,0,10.199999999999989,0.4189231089293501,0.6798418972332015,0,-4.61512051684126
309.0,1812,25.9,174,0,0,0,0,0,0,10.100000000000025,0.4694000024004704,0.6877470355731226,1,-4.61512051684126
309.1,1523,38.6,177,0,0,0,0,0,0,10.100000000000025,0.5879932466763486,0.6996047430830039,0,-4.61512051684126
309.1,1394,45.1,179,0,0,0,0,0,0,10.100000000000025,0.6288172481806433,0.7075098814229249,0,-4.61512051684126
308.9,1679,28.7,181,0,0,0,0,0,0,10.0,0.4819674656232621,0.7154150197628458,1,-4.61512051684126
308.9,1466,44.1,184,0,0,0,0,0,0,10.099999999999966,0.6466327400170433,0.7272727272727273,2,-4.61512051684126
308.9,1527,32.4,189,0,0,0,0,0,0,10.099999999999966,0.494844989617965,0.7470355731225297,0,-4.61512051684126
309.0,1410,65.7,191,1,0,0,1,1,0,10.100000000000025,0.9265516041144064,0.7549407114624506,0,4.61512051684126
309.0,1924,22.6,193,0,0,0,0,0,0,10.100000000000025,0.4349092422114734,0.7628458498023716,1,-4.61512051684126
309.1,1452,45.5,196,0,0,0,0,0,0,10.200000000000044,0.6607895147448899,0.7747035573122529,0,-4.61512051684126
309.1,1369,44.4,198,0,0,0,0,0,0,10.200000000000044,0.6079551592112054,0.782608695652174,0,-4.61512051684126
309.1,1592,35.0,200,0,0,0,0,0,0,10.100000000000025,0.5573092326095914,0.7905138339920948,0,-4.61512051684126
309.0,1601,32.3,202,0,0,0,0,0,0,10.100000000000025,0.5172243759776916,0.7984189723320159,0,-4.61512051684126
308.9,1379,46.7,204,0,0,0,0,0,0,10.099999999999966,0.6441192473724849,0.8063241106719368,0,-4.61512051684126
308.9,1461,47.9,206,0,0,0,0,0,0,10.099999999999966,0.699956191413517,0.8142292490118577,0,-4.61512051684126
308.9,1455,41.3,208,1,1,0,0,0,0,10.099999999999966,0.601032802429276,0.8221343873517787,0,4.61512051684126
308.9,1398,51.5,0,0,0,0,0,0,0,10.099999999999966,0.7201111417837895,0.0,0,-4.61512051684126
308.9,1402,37.9,2,0,0,0,0,0,0,10.099999999999966,0.5314621665846505,0.0079051383399209,0,-4.61512051684126
308.8,1445,49.9,4,0,0,0,0,0,0,10.0,0.7211963544854791,0.0158102766798418,2,-4.61512051684126
308.9,1450,47.5,9,0,0,0,0,0,0,10.0,0.6888850214642069,0.0355731225296442,0,-4.61512051684126
308.9,1453,40.8,11,0,0,0,0,0,0,10.0,0.5929402162823912,0.0434782608695652,0,-4.61512051684126
309.0,1469,40.1,13,0,0,0,0,0,0,10.0,0.589184480158111,0.0513833992094861,0,-4.61512051684126
308.9,1422,47.6,15,0,0,0,0,0,0,10.0,0.6770046929198122,0.0592885375494071,0,-4.61512051684126
309.0,1804,26.8,17,0,0,0,0,0,0,10.0,0.4835667790887014,0.067193675889328,1,-4.61512051684126
309.0,1436,43.9,20,0,0,0,0,0,0,10.0,0.6305275834063476,0.0790513833992094,2,-4.61512051684126
309.0,1544,31.8,25,0,0,0,0,0,0,10.0,0.4910882532976463,0.0988142292490118,0,-4.61512051684126
309.0,1419,45.2,27,0,0,0,0,0,0,10.0,0.6415137366923916,0.1067193675889328,1,-4.61512051684126
308.9,1487,39.5,30,0,0,0,0,0,0,10.0,0.5874801461086372,0.1185770750988142,1,-4.61512051684126
308.9,1753,25.8,33,0,0,0,0,0,0,10.0,0.452362663081964,0.1304347826086956,0,-4.61512051684126
308.9,1830,24.9,35,0,0,0,0,0,0,10.0,0.4557593288284503,0.1383399209486166,0,-4.61512051684126
308.9,1727,27.1,37,0,0,0,0,0,0,10.0,0.4681087493148657,0.1462450592885375,1,-4.61512051684126
309.0,1450,43.0,40,0,0,0,0,0,0,9.899999999999975,0.6236222299570715,0.1581027667984189,0,-4.61512051684126
308.9,1622,31.9,42,0,0,0,0,0,0,9.899999999999975,0.5175194338090264,0.1660079051383399,0,-4.61512051684126
309.0,1351,52.2,44,0,0,0,0,0,0,10.0,0.7053602506091193,0.1739130434782608,1,-4.61512051684126
309.0,1575,35.3,47,0,0,0,0,0,0,10.0,0.5560839924625225,0.1857707509881423,1,-4.61512051684126
308.9,1750,29.9,50,0,0,0,0,0,0,10.0,0.5233525771051125,0.1976284584980237,1,-4.61512051684126
308.8,1529,32.7,53,0,0,0,0,0,0,9.900000000000034,0.5000810158791122,0.2094861660079051,0,-4.61512051684126
308.8,1523,44.4,55,0,0,0,0,0,0,10.0,0.6763445635344527,0.217391304347826,0,-4.61512051684126
308.9,1852,25.0,57,0,0,0,0,0,0,10.099999999999966,0.4630907657900948,0.225296442687747,0,-4.61512051684126
308.8,1991,20.7,59,0,0,0,0,0,0,10.0,0.4122177946877587,0.233201581027668,0,-4.61512051684126
308.8,1555,40.6,61,0,0,0,0,0,0,10.0,0.6314537649379278,0.2411067193675889,0,-4.61512051684126
308.8,1441,40.5,63,0,0,0,0,0,0,10.0,0.5837194090041647,0.2490118577075099,1,-4.61512051684126
308.7,1450,43.4,66,0,0,0,0,0,0,9.899999999999975,0.629423366979928,0.2608695652173913,0,-4.61512051684126
308.7,1591,31.1,68,0,0,0,0,0,0,9.899999999999975,0.4948980000080016,0.2687747035573122,0,-4.61512051684126
308.7,1445,48.5,70,0,0,0,0,0,0,9.899999999999975,0.7009623886281711,0.2766798418972332,0,-4.61512051684126
308.8,1497,46.8,72,0,0,0,0,0,0,10.0,0.700733343735372,0.2845849802371542,1,-4.61512051684126
308.8,1621,32.7,75,0,0,0,0,0,0,9.900000000000034,0.5301709134990458,0.2964426877470356,2,-4.61512051684126
308.7,1572,34.1,80,0,0,0,0,0,0,9.800000000000011,0.5361570867890106,0.3162055335968379,0,-4.61512051684126
308.6,1872,22.5,82,0,0,0,0,0,0,9.800000000000011,0.4212825713839912,0.3241106719367589,0,-4.61512051684126
308.6,1499,43.5,84,0,0,0,0,0,0,9.900000000000034,0.6521928297946397,0.3320158102766798,2,-4.61512051684126
308.7,1498,39.5,89,0,0,0,0,0,0,9.899999999999975,0.5918259978955874,0.3517786561264822,1,-4.61512051684126
308.6,1486,41.9,92,0,0,0,0,0,0,9.800000000000011,0.6227560601877967,0.3636363636363636,1,-4.61512051684126
308.6,1680,29.4,95,0,0,0,0,0,0,9.800000000000011,0.4940168272981504,0.375494071146245,0,-4.61512051684126
308.6,1431,45.7,97,0,0,0,0,0,0,9.800000000000011,0.6540952026597213,0.383399209486166,0,-4.61512051684126
308.7,1564,34.1,99,0,0,0,0,0,0,9.800000000000011,0.5334285519961912,0.391304347826087,0,-4.61512051684126
308.6,1599,33.0,101,0,0,0,0,0,0,9.800000000000011,0.5277734435949446,0.3992094861660079,0,-4.61512051684126
308.6,1707,28.1,103,0,0,0,0,0,0,9.800000000000011,0.4797610331624998,0.4071146245059288,1,-4.61512051684126
308.5,1467,40.7,106,0,0,0,0,0,0,9.800000000000011,0.5971860484654992,0.4189723320158103,0,-4.61512051684126
308.7,1433,44.7,108,0,0,0,0,0,0,9.800000000000011,0.6406765726082312,0.4268774703557312,0,-4.61512051684126
308.7,1558,41.2,110,0,0,0,0,0,0,9.800000000000011,0.6420218362799108,0.4347826086956521,0,-4.61512051684126
308.8,1310,50.7,112,0,0,0,0,0,0,9.800000000000011,0.6643002028397565,0.4426877470355731,0,-4.61512051684126
308.7,1546,43.4,114,0,0,0,0,0,0,9.800000000000011,0.671095534724806,0.4505928853754941,0,-4.61512051684126
308.7,1727,29.4,116,0,0,0,0,0,0,9.800000000000011,0.5078375361570867,0.458498023715415,0,-4.61512051684126
308.6,1560,32.2,118,0,0,0,0,0,0,9.700000000000044,0.5024184740209081,0.466403162055336,0,-4.61512051684126
308.6,1329,60.5,120,0,0,0,0,0,0,9.600000000000025,0.8042026237142479,0.4743083003952569,0,-4.61512051684126
308.6,1413,46.5,122,0,0,0,0,0,0,9.700000000000044,0.6571738060659889,0.4822134387351778,0,-4.61512051684126
308.6,1587,38.6,124,0,0,0,0,0,0,9.600000000000025,0.6127020896095635,0.4901185770750988,0,-4.61512051684126
308.5,1559,34.3,126,0,0,0,0,0,0,9.600000000000025,0.5348418289984836,0.4980237154150198,0,-4.61512051684126
308.4,1473,41.1,128,0,0,0,0,0,0,9.599999999999966,0.6055216822497209,0.5059288537549407,0,-4.61512051684126
308.4,1737,27.7,130,0,0,0,0,0,0,9.599999999999966,0.4812433236914435,0.5138339920948617,0,-4.61512051684126
308.4,1441,43.2,132,0,0,0,0,0,0,9.699999999999989,0.6226340362711091,0.5217391304347826,1,-4.61512051684126
308.4,1430,49.6,135,0,0,0,0,0,0,9.699999999999989,0.709419046133042,0.5335968379446641,1,-4.61512051684126
308.4,1369,53.0,138,0,0,0,0,0,0,9.599999999999966,0.7257122395989614,0.5454545454545454,0,-4.61512051684126
308.5,1711,28.5,140,0,0,0,0,0,0,9.699999999999989,0.4877305951966585,0.5533596837944664,1,-4.61512051684126
308.5,1420,45.7,143,0,0,0,0,0,0,9.800000000000011,0.6490672171745663,0.5652173913043478,2,-4.61512051684126
308.6,1297,55.3,148,0,0,0,0,0,0,9.900000000000034,0.7173816067949317,0.5849802371541502,0,-4.61512051684126
308.6,1449,49.4,150,0,0,0,0,0,0,9.800000000000011,0.7159463254797939,0.5928853754940712,2,-4.61512051684126
308.6,1268,55.8,155,0,0,0,0,0,0,9.800000000000011,0.7076827058103387,0.6126482213438735,0,-4.61512051684126
308.6,1511,36.1,157,0,0,0,0,0,0,9.800000000000011,0.5455779332749219,0.6205533596837944,0,-4.61512051684126
308.5,1544,35.2,159,0,0,0,0,0,0,9.800000000000011,0.543594544530728,0.6284584980237155,0,-4.61512051684126
308.4,1778,28.2,161,0,0,0,0,0,0,9.799999999999956,0.5014942928814047,0.6363636363636364,1,-4.61512051684126
308.4,1407,50.5,164,0,0,0,0,0,0,9.799999999999956,0.7106742921612635,0.6482213438735178,2,-4.61512051684126
308.4,1391,42.4,169,0,0,0,0,0,0,9.799999999999956,0.5898996203255837,0.6679841897233202,1,-4.61512051684126
308.4,1513,33.6,172,0,0,0,0,0,0,9.899999999999975,0.5084676596612936,0.6798418972332015,0,-4.61512051684126
308.4,1612,36.1,174,0,0,0,0,0,0,9.899999999999975,0.5820460810318823,0.6877470355731226,2,-4.61512051684126
308.4,1515,40.1,179,0,0,0,0,0,0,10.0,0.6076340962828713,0.7075098814229249,0,-4.61512051684126
308.3,1379,48.0,181,0,0,0,0,0,0,10.0,0.6620497617533035,0.7154150197628458,1,-4.61512051684126
308.3,1473,39.9,184,0,0,0,0,0,0,9.900000000000034,0.5878422170745465,0.7272727272727273,0,-4.61512051684126
308.3,1422,42.7,186,0,0,0,0,0,0,9.900000000000034,0.6073130333545375,0.7351778656126482,0,-4.61512051684126
308.2,1463,37.6,188,0,0,0,0,0,0,9.800000000000011,0.5501958383843233,0.7430830039525692,1,-4.61512051684126
308.2,1584,41.0,191,0,0,0,0,0,0,9.800000000000011,0.649567315193778,0.7549407114624506,1,-4.61512051684126
308.2,1850,27.0,194,0,0,0,0,0,0,9.800000000000011,0.4995979211925537,0.766798418972332,0,-4.61512051684126
308.2,1528,36.2,196,0,0,0,0,0,0,9.800000000000011,0.5532444359094383,0.7747035573122529,0,-4.61512051684126
308.2,1987,19.8,198,0,0,0,0,0,0,9.800000000000011,0.393503126612816,0.782608695652174,2,-4.61512051684126
308.1,1495,46.0,203,0,0,0,0,0,0,9.700000000000044,0.6878348156238622,0.8023715415019763,1,-4.61512051684126
308.2,1478,43.5,206,0,0,0,0,0,0,9.800000000000011,0.6430560389836407,0.8142292490118577,2,-4.61512051684126
308.2,1499,40.0,211,0,0,0,0,0,0,9.800000000000011,0.5997175446387492,0.83399209486166,1,-4.61512051684126
308.2,1471,47.0,214,0,0,0,0,0,0,9.800000000000011,0.6915055350848766,0.8458498023715415,0,-4.61512051684126
308.2,1282,60.7,216,1,0,0,0,1,0,9.800000000000011,0.7783265520041929,0.8537549407114624,0,4.61512051684126
308.1,1412,52.3,218,1,0,0,0,1,0,9.800000000000011,0.7386207696708553,0.8616600790513834,0,4.61512051684126
308.1,1586,35.5,0,0,0,0,0,0,0,9.800000000000011,0.5631403755136006,0.0,0,-4.61512051684126
308.2,1468,43.8,2,0,0,0,0,0,0,9.800000000000011,0.6431100495697155,0.0079051383399209,1,-4.61512051684126
308.3,1440,43.6,5,0,0,0,0,0,0,9.800000000000011,0.6279630807638297,0.0197628458498023,1,-4.61512051684126
308.4,1733,26.0,8,0,0,0,0,0,0,9.899999999999975,0.4506683309928745,0.0316205533596837,0,-4.61512051684126
308.2,1612,32.6,10,0,0,0,0,0,0,9.800000000000011,0.5256150205440266,0.0395256916996047,2,-4.61512051684126
308.3,1458,42.9,15,0,0,0,0,0,0,9.900000000000034,0.625604618505227,0.0592885375494071,2,-4.61512051684126
308.3,1433,62.3,20,1,0,0,1,0,0,9.900000000000034,0.892934015066953,0.0790513833992094,0,4.61512051684126
308.3,1318,59.1,22,0,0,0,0,0,0,9.900000000000034,0.7790907017775484,0.0869565217391304,0,-4.61512051684126
308.2,1610,35.0,24,0,0,0,0,0,0,9.800000000000011,0.5636104676516597,0.0948616600790513,1,-4.61512051684126
308.1,1462,50.8,27,0,0,0,0,0,0,9.900000000000034,0.7428415969530027,0.1067193675889328,0,-4.61512051684126
308.0,1924,20.8,29,0,0,0,0,0,0,9.899999999999975,0.4002704530087897,0.1146245059288537,1,-4.61512051684126
308.0,1591,33.7,32,0,0,0,0,0,0,9.800000000000011,0.5362721093334294,0.1264822134387351,1,-4.61512051684126
308.1,1306,58.3,35,0,0,0,0,0,0,9.900000000000034,0.7615472632635997,0.1383399209486166,0,-4.61512051684126
308.1,1382,43.5,37,0,0,0,0,0,0,9.900000000000034,0.6012878524190741,0.1462450592885375,0,-4.61512051684126
308.1,1618,34.7,39,0,0,0,0,0,0,9.900000000000034,0.5615560649887378,0.1541501976284585,0,-4.61512051684126
308.2,1988,21.4,41,0,0,0,0,0,0,10.0,0.4255154010185996,0.1620553359683794,0,-4.61512051684126
308.2,1436,50.2,43,0,0,0,0,0,0,10.0,0.7210133186104476,0.1699604743083003,0,-4.61512051684126
308.3,1304,49.8,45,0,0,0,0,0,0,10.100000000000025,0.6495193057839336,0.1778656126482213,0,-4.61512051684126
308.3,1475,49.9,47,0,0,0,0,0,0,10.100000000000025,0.7361692891806794,0.1857707509881423,0,-4.61512051684126
308.3,1824,24.2,49,0,0,0,0,0,0,10.100000000000025,0.4414945329284539,0.1936758893280632,2,-4.61512051684126
308.2,1342,48.1,54,0,0,0,0,0,0,10.099999999999966,0.645628543194466,0.2134387351778656,1,-4.61512051684126
308.2,1485,40.7,57,0,0,0,0,0,0,10.099999999999966,0.60451348464299,0.225296442687747,0,-4.61512051684126
308.2,1667,30.6,59,0,0,0,0,0,0,10.0,0.51020199959192,0.233201581027668,0,-4.61512051684126
308.2,1446,38.2,61,0,0,0,0,0,0,10.0,0.5524802861360827,0.2411067193675889,0,-4.61512051684126
308.3,1301,56.0,63,0,0,0,0,0,0,10.199999999999989,0.7287028257538477,0.2490118577075099,0,-4.61512051684126
308.4,1379,43.1,65,0,0,0,0,0,0,10.199999999999989,0.5944655152409872,0.2569169960474308,0,-4.61512051684126
308.5,1606,33.6,67,0,0,0,0,0,0,10.199999999999989,0.5397217854699521,0.2648221343873518,0,-4.61512051684126
308.4,1539,43.4,69,0,0,0,0,0,0,10.099999999999966,0.6680569391600752,0.2727272727272727,1,-4.61512051684126
308.4,1477,49.9,72,0,0,0,0,0,0,10.199999999999989,0.7371674848270261,0.2845849802371542,0,-4.61512051684126
308.4,1666,34.6,74,0,0,0,0,0,0,10.199999999999989,0.5765490036047065,0.2924901185770751,0,-4.61512051684126
308.4,1398,51.8,76,0,0,0,0,0,0,10.199999999999989,0.7243059639689378,0.300395256916996,2,-4.61512051684126
308.4,1678,34.6,81,0,0,0,0,0,0,10.199999999999989,0.580701817556241,0.3201581027667984,2,-4.61512051684126
308.5,2678,10.7,86,1,0,0,1,0,0,10.300000000000011,0.2866021740261091,0.3399209486166007,1,4.61512051684126
308.5,1453,42.9,89,0,0,0,0,0,0,10.199999999999989,0.6234591980028085,0.3517786561264822,0,-4.61512051684126
308.6,1432,49.5,91,0,0,0,0,0,0,10.300000000000011,0.7089789598761357,0.3596837944664031,2,-4.61512051684126
308.6,1527,40.9,96,0,0,0,0,0,0,10.200000000000044,0.6246654344251472,0.3794466403162055,1,-4.61512051684126
308.7,1588,35.0,99,0,0,0,0,0,0,10.300000000000011,0.5559089581557984,0.391304347826087,0,-4.61512051684126
308.6,1433,47.1,101,0,0,0,0,0,0,10.200000000000044,0.6750753147616932,0.3992094861660079,0,-4.61512051684126
308.6,1609,35.0,103,0,0,0,0,0,0,10.200000000000044,0.5632603990382115,0.4071146245059288,0,-4.61512051684126
308.5,1575,41.2,105,0,0,0,0,0,0,10.199999999999989,0.6490272093330293,0.4150197628458498,0,-4.61512051684126
308.5,1636,35.7,107,0,0,0,0,0,0,10.100000000000025,0.5841664966333401,0.4229249011857707,1,-4.61512051684126
308.5,1490,37.9,110,0,0,0,0,0,0,10.100000000000025,0.5648207048581522,0.4347826086956521,0,-4.61512051684126
308.5,1741,32.8,112,0,0,0,0,0,0,10.100000000000025,0.5711599473496805,0.4426877470355731,0,-4.61512051684126
308.6,1344,53.0,114,0,0,0,0,0,0,10.100000000000025,0.7124596420898496,0.4505928853754941,1,-4.61512051684126
308.7,1609,35.3,117,0,0,0,0,0,0,10.199999999999989,0.5680883453156818,0.4624505928853755,0,-4.61512051684126
308.7,1421,60.7,119,1,0,0,1,0,0,10.300000000000011,0.8627160923541013,0.4703557312252964,1,4.61512051684126
308.6,1591,36.7,122,0,0,0,0,0,0,10.200000000000044,0.5840114662473844,0.4822134387351778,0,-4.61512051684126
308.6,1477,44.0,124,0,0,0,0,0,0,10.200000000000044,0.6500074014506843,0.4901185770750988,0,-4.61512051684126
308.7,1523,36.1,126,0,0,0,0,0,0,10.300000000000011,0.5499107825133726,0.4980237154150198,0,-4.61512051684126
308.7,1575,33.9,128,0,0,0,0,0,0,10.199999999999989,0.5340296698152838,0.5059288537549407,0,-4.61512051684126
308.7,1344,52.9,130,0,0,0,0,0,0,10.300000000000011,0.7111153786142083,0.5138339920948617,2,-4.61512051684126
308.7,1386,44.9,135,0,0,0,0,0,0,10.300000000000011,0.6224359974555013,0.5335968379446641,0,-4.61512051684126
308.6,1589,37.1,137,0,0,0,0,0,0,10.300000000000011,0.5896345683754015,0.541501976284585,1,-4.61512051684126
308.6,1548,40.3,140,0,0,0,0,0,0,10.300000000000011,0.6239662973942892,0.5533596837944664,0,-4.61512051684126
308.6,1499,38.3,142,0,0,0,0,0,0,10.300000000000011,0.5742295489916023,0.5612648221343873,0,-4.61512051684126
308.5,1664,31.6,144,0,0,0,0,0,0,10.199999999999989,0.5259270817080147,0.5691699604743083,0,-4.61512051684126
308.6,1447,38.1,146,0,0,0,0,0,0,10.300000000000011,0.5514150773551616,0.5770750988142292,0,-4.61512051684126
308.5,1434,46.2,148,0,0,0,0,0,0,10.199999999999989,0.6626378770238966,0.5849802371541502,1,-4.61512051684126
308.5,1416,52.7,151,0,0,0,0,0,0,10.199999999999989,0.7463782901448683,0.5968379446640316,0,-4.61512051684126
308.5,1827,24.3,153,0,0,0,0,0,0,10.100000000000025,0.4440480334145492,0.6047430830039525,2,-4.61512051684126
308.6,1304,45.0,158,0,0,0,0,0,0,10.200000000000044,0.5869150353469279,0.6245059288537549,0,-4.61512051684126
308.6,1569,34.4,160,0,0,0,0,0,0,10.200000000000044,0.5398418089945629,0.6324110671936759,0,-4.61512051684126
308.6,1584,29.3,162,0,0,0,0,0,0,10.300000000000011,0.4642029837848218,0.6403162055335968,0,-4.61512051684126
308.5,1362,53.8,164,0,0,0,0,0,0,10.199999999999989,0.7328996483310727,0.6482213438735178,0,-4.61512051684126
